Block - FB,Plot,Group,Density,Date,Total Cover,Measurement 1,Measurement 2,Measurement 3,PHAU,Typha,BOMA,DISP,SCAC,SCAM,RUMA,RUST,Notes
1,5H,5,H,7/13/23,<1,0,0,0,,,,,,<1,,,"DISP seems to be growing out of the RUMA mounds for all plots on 7/13/23. Marked where flags were replaced except forgot a couple in Block 1. To replace, randomly threw down a new flag on 7/13/23."
1,1L,1,L,7/13/23,1,0,0,0,,1,,,,,,,
1,2L,2,L,7/13/23,1,1,1,0,,1,,,,,,,
1,4L,4,L,7/13/23,1,0,0,0,,1,,,,<1,,,
1,3L,3,L,7/13/23,1,0,3,0,,1,,,,<1,,,
1,4H,4,H,7/13/23,1,0,1,0,,1,1,,,1,,,
1,5L,5,L,7/13/23,1,0,0,1,,1,,,,,,,
1,C,C,C,7/13/23,1,0,0,0,,1,,,,,,,
1,1H,1,H,7/13/23,1,0,0,0,,1,,,,,,,
1,2H,2,H,7/13/23,<1,0,0,0,,,<1,,,,,,
1,3H,3,H,7/13/23,1,0,0,0,1,1,,,,,,,
2,4L,4,L,7/13/23,20,4,3,5,20,,,,,,,,
2,2L,2,L,7/13/23,20,4,1,5,20,,,,,,,,
2,C,C,C,7/13/23,10,1,1,0,,10,<1,,,<1,,,
2,3H,3,H,7/13/23,1,0,0,1,,1,<1,,,,,,
2,1L,1,L,7/13/23,1,0,0,4,,1,,,,,,,
2,5H,5,H,7/13/23,10,0,0,0,,10,,,,,,,
2,5L,5,L,7/13/23,10,0,0,0,,10,,,,,,,
2,3L,3,L,7/13/23,1,0,0,0,,1,<1,,,,,,
2,1H,1,H,7/13/23,10,0,0,0,1,10,,,,,,,
2,2H,2,H,7/13/23,10,3,2,0,10,1,,,,,,,
2,4H,4,H,7/13/23,10,0,4,11,10,1,,,,,,,plus 1 flag
3,1L,1,L,7/13/23,20,6,1,0,1,20,1,,,,,,
3,2H,2,H,7/13/23,20,4,5,0,1,20,,<1,,,1,,plus 1 flag
3,5H,5,H,7/13/23,30,0,0,3,1,10,<1,,,,20,,
3,1H,1,H,7/13/23,30,1,1,0,,10,,<1,,,20,,plus 1 flag
3,5L,5,L,7/13/23,40,4,1,2,1,1,,<1,,,40,,
3,2L,2,L,7/13/23,30,4,5,5,10,1,,1,,,10,,
3,C,C,C,7/13/23,20,3,6,0,1,10,,<1,,,1,,
3,3L,3,L,7/13/23,10,1,2,1,1,1,,1,,,,,
3,4H,4,H,7/13/23,10,1,1,4,10,,,,,,,,
3,3H,3,H,7/13/23,20,1,1,8,20,,,,,,,,
3,4L,4,L,7/13/23,30,3,7,5,30,,,,,,,,
4,2L,2,L,7/13/23,10,0,0,0,1,,,,,,10,,
4,3L,3,L,7/13/23,20,0,1,0,,10,1,<1,,,10,,plus 1 flag
4,4H,4,H,7/13/23,10,0,1,1,<1,1,,,1,,,1,
4,5H,5,H,7/13/23,10,1,1,1,1,10,,,,,1,,plus 1 flag
4,1H,1,H,7/13/23,10,0,2,1,1,10,,,,,,,
4,5L,5,L,7/13/23,10,1,1,1,1,10,,,,,,,
4,3H,3,H,7/13/23,20,3,1,1,1,10,,1,,,,,
4,2H,2,H,7/13/23,30,2,0,3,10,1,,<1,,,10,,
4,1L,1,L,7/13/23,10,1,1,1,1,10,,<1,,,,,plus 1 flag
4,C,C,C,7/13/23,20,1,5,1,,10,,,,,1,,
4,4L,4,L,7/13/23,20,2,0,2,,1,<1,1,,,20,,plus 1 flag
5,5L,5,L,7/13/23,1,0,0,0,,1,,,,,,,
5,2H,2,H,7/13/23,<1,0,0,0,,<1,,,,,,,
5,1H,1,H,7/13/23,0,0,0,0,,,,,,,,,
5,3H,3,H,7/13/23,1,0,0,0,,1,,,,,,,
5,4L,4,L,7/13/23,1,0,0,0,,,<1,,1,,1,,cap fell off
5,1L,1,L,7/13/23,0,0,0,0,,,,,,,,,plus 1 flag
5,2L,2,L,7/13/23,0,0,0,0,,,,,,,,,
5,5H,5,H,7/13/23,1,0,0,0,,1,,,,,,,
5,4H,4,H,7/13/23,10,0,0,1,,,,,10,,,,plus 1 flag
5,C,C,C,7/13/23,1,0,0,0,,1,,,,,,,
5,3L,3,L,7/13/23,0,0,0,0,,,,,,,,,plus 1 flag
6,2H,2,H,7/13/23,1,0,1,1,,1,,,,,,,
6,3L,3,L,7/13/23,1,0,0,0,,1,,,,,,,
6,1H,1,H,7/13/23,<1,0,0,0,,<1,,,,,,,
6,5L,5,L,7/13/23,0,0,0,0,,,,,,,,,
6,3H,3,H,7/13/23,1,0,0,0,,1,,,,,,,plus 1 flag
6,4L,4,L,7/13/23,0,0,0,0,,,,,,,,,
6,1L,1,L,7/13/23,1,0,0,0,,1,,,,,,,
6,4H,4,H,7/13/23,1,0,0,0,,1,,,,,,,plus 1 flag
6,2L,2,L,7/13/23,10,1,1,0,,10,,,,,,,plus 1 flag
6,C,C,C,7/13/23,10,0,0,0,,10,,,,,,,
6,5H,5,H,7/13/23,<1,0,0,0,,,<1,,,,,,
1,5H,5,H,7/28/23,<1,0,0,0,,,<1,,,,,,
1,1L,1,L,7/28/23,1,0,0,1,,1,,,,,,,
1,2L,2,L,7/28/23,1,0,2,1,,1,1,,,,,,
1,4L,4,L,7/28/23,1,0,0,0,,1,1,,,,,,
1,3L,3,L,7/28/23,10,0,1,1,,10,1,,,,,,
1,4H,4,H,7/28/23,1,0,1,2,,1,1,,,,,,
1,5L,5,L,7/28/23,1,0,1,1,,1,,,,,,,
1,C,C,C,7/28/23,1,0,0,0,,1,,,,,,,
1,1H,1,H,7/28/23,1,0,1,0,,1,,,,,,,
1,2H,2,H,7/28/23,1,0,0,0,,<1,1,,,,,,
1,3H,3,H,7/28/23,1,0,1,1,1,1,,,,,,,
2,4L,4,L,7/28/23,20,15,11,5,20,,,,,,,,
2,2L,2,L,7/28/23,10,2,10,3,10,,,<1,,,,,
2,C,C,C,7/28/23,10,0,5,5,10,1,,,,,,,
2,3H,3,H,7/28/23,1,0,1,1,,1,1,,,,,,
2,1L,1,L,7/28/23,10,3,2,0,,10,,,,,,,
2,5H,5,H,7/28/23,1,1,0,0,,1,,,,,,,
2,5L,5,L,7/28/23,1,0,0,0,<1,1,,,,,,,
2,3L,3,L,7/28/23,1,1,3,1,,1,1,,,,,,
2,1H,1,H,7/28/23,10,4,2,0,1,10,,,,,,,
2,2H,2,H,7/28/23,10,1,3,3,10,1,,,,,,,
2,4H,4,H,7/28/23,30,10,5,9,30,,,,,,,,
3,1L,1,L,7/28/23,30,5,6,7,10,10,,,,,,,
3,2H,2,H,7/28/23,20,4,0,1,,10,,,,,1,,minus 1 flag
3,5H,5,H,7/28/23,30,3,2,3,,10,,,,,20,,
3,1H,1,H,7/28/23,30,0,5,2,,10,,1,,,20,,
3,5L,5,L,7/28/23,30,4,0,4,10,1,,1,,,20,,
3,2L,2,L,7/28/23,30,5,5,5,1,10,,1,,,20,,
3,C,C,C,7/28/23,30,2,12,4,10,10,,1,,,,,
3,3L,3,L,7/28/23,20,4,8,2,10,10,1,1,,,1,,
3,4H,4,H,7/28/23,20,7,8,3,20,,,,,,,,
3,3H,3,H,7/28/23,50,11,10,5,40,10,,,,,,,
3,4L,4,L,7/28/23,80,9,13,16,80,,,1,,,,,
4,2L,2,L,7/28/23,10,3,2,1,1,1,,,,,1,,
4,3L,3,L,7/28/23,20,1,4,8,,10,1,<1,,,10,,
4,4H,4,H,7/28/23,20,0,1,2,,10,,,10,,1,,
4,5H,5,H,7/28/23,20,4,1,4,1,10,,,,,1,,
4,1H,1,H,7/28/23,10,4,1,3,1,10,,,,,,,
4,5L,5,L,7/28/23,20,5,3,6,1,20,,<1,,,,,
4,3H,3,H,7/28/23,30,4,5,5,1,20,,1,,,,,
4,2H,2,H,7/28/23,30,5,3,1,1,20,,,,,1,,
4,1L,1,L,7/28/23,20,3,0,7,1,10,,<1,,,,,
4,C,C,C,7/28/23,20,2,2,4,1,20,,,,,1,,
4,4L,4,L,7/28/23,50,2,3,7,,10,1,1,,,30,,
5,5L,5,L,7/28/23,1,0,0,0,,1,,,,,,,
5,2H,2,H,7/28/23,0,0,0,0,,1,,,,,,,
5,1H,1,H,7/28/23,1,0,0,0,,1,,,,,,,
5,3H,3,H,7/28/23,1,0,0,1,,1,,,,,,,
5,4L,4,L,7/28/23,10,0,2,0,,,1,,10,,1,,
5,1L,1,L,7/28/23,<1,0,0,0,<1,,,,,,,,
5,2L,2,L,7/28/23,0,0,0,0,,,,,,,,,
5,5H,5,H,7/28/23,1,0,0,0,1,1,,,,,,,
5,4H,4,H,7/28/23,10,0,0,1,,1,,,10,,,,
5,C,C,C,7/28/23,10,1,2,0,,10,,,,,,,
5,3L,3,L,7/28/23,0,0,0,0,,,,,,,,,
6,2H,2,H,7/28/23,1,1,0,0,,1,,,,,,,
6,3L,3,L,7/28/23,10,0,0,0,,10,,,,,,,
6,1H,1,H,7/28/23,1,0,0,0,,1,,,,,,,
6,5L,5,L,7/28/23,0,0,0,0,,,,,,,,,
6,3H,3,H,7/28/23,10,0,0,0,,10,,,,,,,
6,4L,4,L,7/28/23,0,0,0,0,,,,,,,,,
6,1L,1,L,7/28/23,1,0,0,0,,1,,,,,,,
6,4H,4,H,7/28/23,1,0,0,1,,1,,,,,,,
6,2L,2,L,7/28/23,10,0,1,0,,10,,,,,,,
6,C,C,C,7/28/23,10,0,0,2,,10,,,,,,,
6,5H,5,H,7/28/23,1,0,0,0,,1,1,,,,,,
1,5H,5,H,8/10/23,0,0,0,0,,,,,,,,,
1,1L,1,L,8/10/23,10,0,0,1,,10,,,,,,,
1,2L,2,L,8/10/23,10,0,0,1,,10,1,,,,,,
1,4L,4,L,8/10/23,10,0,0,0,,1,1,,,,,,
1,3L,3,L,8/10/23,10,0,0,3,,10,1,,,,,,
1,4H,4,H,8/10/23,20,1,3,2,,1,,,,10,,,Might have been calling SCAM SCAC
1,5L,5,L,8/10/23,10,1,0,0,,10,,,,,,,
1,C,C,C,8/10/23,1,0,0,0,,1,,,,,,,
1,1H,1,H,8/10/23,1,0,0,1,,1,,,,,,,
1,2H,2,H,8/10/23,1,0,0,0,,<1,1,,,,,,
1,3H,3,H,8/10/23,10,0,0,2,10,1,,,,,,,
2,4L,4,L,8/10/23,50,4,10,9,50,,,,,,,,
2,2L,2,L,8/10/23,30,4,3,11,30,,,,,,,,
2,C,C,C,8/10/23,10,2,2,0,10,1,1,1,,,,,
2,3H,3,H,8/10/23,20,0,1,1,,20,1,1,,,,,
2,1L,1,L,8/10/23,20,0,1,0,,20,,,,,,,
2,5H,5,H,8/10/23,20,0,0,2,,20,,,,,,,
2,5L,5,L,8/10/23,20,1,4,1,1,20,,,,,,,
2,3L,3,L,8/10/23,10,0,2,0,,10,1,1,,,,,
2,1H,1,H,8/10/23,20,4,1,3,1,20,,,,,,,
2,2H,2,H,8/10/23,20,2,1,1,20,,,,,,,,
2,4H,4,H,8/10/23,40,9,5,3,40,,,,,,,,
3,1L,1,L,8/10/23,50,9,9,4,30,20,1,1,,,,,
3,2H,2,H,8/10/23,30,2,0,0,1,30,1,1,,,1,,
3,5H,5,H,8/10/23,50,1,6,4,1,20,,1,,,20,,
3,1H,1,H,8/10/23,30,1,2,1,1,20,,1,,,10,,
3,5L,5,L,8/10/23,50,1,2,5,10,1,,1,,,40,,
3,2L,2,L,8/10/23,50,8,1,4,20,1,,1,,,20,,
3,C,C,C,8/10/23,50,2,1,3,20,20,1,1,,,1,,
3,3L,3,L,8/10/23,50,4,3,4,30,20,,1,,,,,
3,4H,4,H,8/10/23,30,7,8,6,30,1,,1,,,,,
3,3H,3,H,8/10/23,60,12,14,10,60,1,,1,,,,,
3,4L,4,L,8/10/23,90,16,7,17,90,1,,,,,,,
4,2L,2,L,8/10/23,20,0,1,4,10,1,,1,,,10,,
4,3L,3,L,8/10/23,30,3,3,3,1,20,1,1,,,10,,
4,4H,4,H,8/10/23,20,2,2,1,1,10,,1,10,,1,,
4,5H,5,H,8/10/23,20,3,0,1,1,20,,,,,1,,
4,1H,1,H,8/10/23,10,2,1,2,1,10,,,,,,,
4,5L,5,L,8/10/23,20,3,2,2,1,20,,,,,,,
4,3H,3,H,8/10/23,40,5,3,5,1,40,,1,,,,,
4,2H,2,H,8/10/23,40,3,5,7,10,10,,1,,,20,,
4,1L,1,L,8/10/23,20,2,0,3,1,20,,1,,,,,
4,C,C,C,8/10/23,20,2,5,1,1,20,,,,,1,,plus 1 flag
4,4L,4,L,8/10/23,50,1,3,1,,10,1,1,,,30,,
5,5L,5,L,8/10/23,10,0,0,0,,10,,,,,,,
5,2H,2,H,8/10/23,1,0,0,0,,1,,,,,,,
5,1H,1,H,8/10/23,1,0,0,0,,1,,,,,,,
5,3H,3,H,8/10/23,10,0,0,2,,10,,,,,,,
5,4L,4,L,8/10/23,10,1,0,1,,,1,,10,,,,
5,1L,1,L,8/10/23,<1,0,0,0,4,,,,,,,,
5,2L,2,L,8/10/23,0,0,0,0,,,,,,,,,
5,5H,5,H,8/10/23,1,0,0,0,1,1,,,,,,,
5,4H,4,H,8/10/23,10,1,0,1,,,,,10,,,,
5,C,C,C,8/10/23,10,2,0,0,,10,,,,,,,
5,3L,3,L,8/10/23,0,0,0,0,,,,,,,,,
6,2H,2,H,8/10/23,10,0,0,0,,10,,,,,,,
6,3L,3,L,8/10/23,10,1,0,0,,10,,,,,,,
6,1H,1,H,8/10/23,1,0,0,0,,1,,,,,,,
6,5L,5,L,8/10/23,0,0,0,0,,,,,,,,,
6,3H,3,H,8/10/23,10,1,0,0,,10,,,,,,,
6,4L,4,L,8/10/23,0,0,0,0,,,,,,,,,
6,1L,1,L,8/10/23,1,0,0,1,,1,,,,,,,
6,4H,4,H,8/10/23,10,0,0,1,,10,,,,,,,
6,2L,2,L,8/10/23,10,0,0,1,,10,,,,,,,
6,C,C,C,8/10/23,10,0,0,0,,10,,,,,,,
6,5H,5,H,8/10/23,1,0,0,0,,1,1,,,,,,
1,5H,5,H,8/29/23,<1,0,0,0,,,<1,,,,,,RUMA and BOMA entirely senesced. PHAU and Typha are dead stems. 
1,1L,1,L,8/29/23,1,0,0,0,,1,,,,,,,
1,2L,2,L,8/29/23,1,1,0,0,,1,1,,,,,,
1,4L,4,L,8/29/23,10,0,0,2,,1,1,,,1,,,
1,3L,3,L,8/29/23,1,0,0,0,,1,,,,,,,
1,4H,4,H,8/29/23,30,1,3,2,,1,,,,30,,,
1,5L,5,L,8/29/23,1,0,0,0,,1,,,,,,,
1,C,C,C,8/29/23,1,0,0,0,,1,<1,1,,,,,
1,1H,1,H,8/29/23,1,0,0,0,,1,,,,,,,
1,2H,2,H,8/29/23,1,0,0,0,<1,,1,,,,,,
1,3H,3,H,8/29/23,1,0,0,0,1,,,,,,,,
2,4L,4,L,8/29/23,10,1,0,1,10,,,,,,,,
2,2L,2,L,8/29/23,10,0,0,0,10,,,,,,,,
2,C,C,C,8/29/23,1,0,0,0,1,,,<1,,,,,plus 1 flag
2,3H,3,H,8/29/23,1,0,0,0,,1,<1,1,,,,,
2,1L,1,L,8/29/23,1,0,0,0,,1,,,,,,,plus 1 flag
2,5H,5,H,8/29/23,1,0,0,0,,1,,,,,,,
2,5L,5,L,8/29/23,1,0,0,0,,1,,,,,,,
2,3L,3,L,8/29/23,1,0,0,0,,,1,1,,,,,
2,1H,1,H,8/29/23,1,1,0,0,,1,,,,,,,plus 2 flags
2,2H,2,H,8/29/23,1,0,0,0,1,<1,,,,,,,
2,4H,4,H,8/29/23,10,1,0,0,10,,,,,,,,
3,1L,1,L,8/29/23,10,1,0,0,1,1,,<1,,,,,
3,2H,2,H,8/29/23,30,0,0,0,1,10,,<1,,,1,,
3,5H,5,H,8/29/23,10,1,0,1,<1,1,,,,,1,,
3,1H,1,H,8/29/23,30,0,0,1,1,10,,1,,,10,,
3,5L,5,L,8/29/23,30,1,1,2,1,1,,1,,,20,,
3,2L,2,L,8/29/23,20,2,1,3,1,10,1,1,,,1,,
3,C,C,C,8/29/23,10,0,0,0,1,10,,<1,,,,,plus 1 flag
3,3L,3,L,8/29/23,10,2,2,1,1,1,1,1,,,,,
3,4H,4,H,8/29/23,1,0,0,0,1,<1,,<1,,,,,
3,3H,3,H,8/29/23,10,1,0,0,10,1,,,,,,,
3,4L,4,L,8/29/23,20,0,0,0,20,,,,,,,,
4,2L,2,L,8/29/23,10,0,1,1,1,<1,,,,,1,,
4,3L,3,L,8/29/23,20,0,0,4,,10,1,1,,,10,,
4,4H,4,H,8/29/23,20,1,2,2,,1,,<1,20,,,,
4,5H,5,H,8/29/23,10,0,0,0,,10,,,,,1,,
4,1H,1,H,8/29/23,1,0,0,0,,1,,,,,,,
4,5L,5,L,8/29/23,10,1,0,0,1,1,,<1,,,,,
4,3H,3,H,8/29/23,10,2,2,2,1,10,,1,,, ,,
4,2H,2,H,8/29/23,20,0,3,0,<1,10,1,,,,10,,
4,1L,1,L,8/29/23,10,2,0,0,,10,,1,,,,,
4,C,C,C,8/29/23,10,0,0,3,,10,,,,,,,
4,4L,4,L,8/29/23,20,1,0,3,,1,,1,1,,20,,
5,5L,5,L,8/29/23,1,0,0,0,,1,,,,,,,
5,2H,2,H,8/29/23,<1,0,0,0,,<1,,,,,,,
5,1H,1,H,8/29/23,<1,0,0,0,,<1,,,,,,,
5,3H,3,H,8/29/23,1,0,0,1,,1,,,,,,,
5,4L,4,L,8/29/23,20,0,0,0,,,1,,20,,1,,
5,1L,1,L,8/29/23,<1,0,0,0,<1,,,,,,,,plus 1 flag
5,2L,2,L,8/29/23,0,0,0,0,,,,,,,,,
5,5H,5,H,8/29/23,1,0,0,0,<1,1,,,,,,,
5,4H,4,H,8/29/23,20,0,1,1,,1,1,,20,,,,
5,C,C,C,8/29/23,1,0,0,0,,1,,,,,,,
5,3L,3,L,8/29/23,<1,0,0,0,<1,,,,,,,,
6,2H,2,H,8/29/23,1,0,0,0,,1,,,,,,,
6,3L,3,L,8/29/23,1,0,0,0,,1,,,,,,,
6,1H,1,H,8/29/23,<1,0,0,0,,<1,,,,,,,
6,5L,5,L,8/29/23,0,0,0,0,,,,,,,,,
6,3H,3,H,8/29/23,1,0,0,0,,1,,,,,,,
6,4L,4,L,8/29/23,<1,0,0,0,,<1,,,,,,,
6,1L,1,L,8/29/23,1,0,0,0,,1,,,,,,,
6,4H,4,H,8/29/23,1,0,0,0,,1,,,,,,,
6,2L,2,L,8/29/23,1,0,0,0,,1,,,,,,,
6,C,C,C,8/29/23,1,1,0,0,,1,,,,,,,
6,5H,5,H,8/29/23,1,0,0,0,,<1,1,,,,,,
1,5H,5,H,9/11/23,0,0,0,0,,,,,,,,,
1,1L,1,L,9/11/23,10,0,0,0,,10,,,,,,,
1,2L,2,L,9/11/23,1,1,0,0,,1,1,,,,,,
1,4L,4,L,9/11/23,10,0,0,0,,1,1,,,1,,,
1,3L,3,L,9/11/23,10,0,1,0,,10,1,,,,,,
1,4H,4,H,9/11/23,30,3,3,1,,1,,,,30,,,
1,5L,5,L,9/11/23,1,0,0,0,,1,,,,,,,
1,C,C,C,9/11/23,1,0,0,0,,1,,1,,,,,
1,1H,1,H,9/11/23,1,0,0,0,,1,,,,,,,
1,2H,2,H,9/11/23,1,1,0,0,,,1,,,,,,
1,3H,3,H,9/11/23,1,1,0,0,1,1,,,,,,,
2,4L,4,L,9/11/23,10,1,0,1,10,,,,,,,,
2,2L,2,L,9/11/23,10,1,0,0,10,,,,,,,,
2,C,C,C,9/11/23,1,0,0,0,1,,,1,,,,,
2,3H,3,H,9/11/23,10,0,0,1,,1,1,10,,,,,
2,1L,1,L,9/11/23,1,0,0,0,,1,,,,,,,
2,5H,5,H,9/11/23,1,0,0,0,,1,,,,,,,
2,5L,5,L,9/11/23,1,0,0,0,,1,,,,,,,
2,3L,3,L,9/11/23,1,0,1,1,,1,1,1,,,,,
2,1H,1,H,9/11/23,10,1,1,0,,10,,,,,,,
2,2H,2,H,9/11/23,10,0,0,0,10,1,,,,,,,
2,4H,4,H,9/11/23,20,1,2,1,20,1,,,,,,,
3,1L,1,L,9/11/23,10,3,1,1,1,10,,,,,,,
3,2H,2,H,9/11/23,40,1,4,2,,10,,<1,,,30,,baby RUMA coming up
3,5H,5,H,9/11/23,40,2,1,3,1,10,,,,,30,,baby RUMA coming up
3,1H,1,H,9/11/23,40,3,0,5,1,10,,1,,,20,,baby RUMA coming up
3,5L,5,L,9/11/23,70,5,1,4,1,1,,1,,,50,,baby RUMA coming up
3,2L,2,L,9/11/23,30,3,2,3,,10,,1,,,20,,baby RUMA coming up
3,C,C,C,9/11/23,20,1,1,1,1,10,,1,,,10,,baby RUMA coming up
3,3L,3,L,9/11/23,30,3,1,3,10,10,1,1,,,1,,baby RUMA coming up
3,4H,4,H,9/11/23,10,0,0,1,10,,,1,,,,,
3,3H,3,H,9/11/23,20,0,1,1,20,,,1,,,,,
3,4L,4,L,9/11/23,30,1,2,0,30,,,,,,,,
4,2L,2,L,9/11/23,10,0,1,1,1,,,,,,1,,
4,3L,3,L,9/11/23,30,0,0,4,,10,1,1,,,20,,baby RUMA coming up
4,4H,4,H,9/11/23,20,1,0,2,,,,,20,,1,,
4,5H,5,H,9/11/23,10,0,0,0,,10,,,,,1,,
4,1H,1,H,9/11/23,10,0,0,0,,10,,,,,,,
4,5L,5,L,9/11/23,10,1,0,1,1,10,,1,,,,,
4,3H,3,H,9/11/23,20,4,2,3,,10,,10,,,1,,baby RUMA coming up
4,2H,2,H,9/11/23,20,0,1,4,1,10,,1,,,20,,baby RUMA coming up
4,1L,1,L,9/11/23,10,2,0,0,1,10,,1,,,1,,baby RUMA coming up
4,C,C,C,9/11/23,20,2,0,2,,10,,,,,10,,baby RUMA coming up
4,4L,4,L,9/11/23,50,2,4,2,,1,,1,10,,30,,baby RUMA coming up
5,5L,5,L,9/11/23,1,0,0,0,,1,,,,,,,
5,2H,2,H,9/11/23,0,0,0,0,,,,,,,,,
5,1H,1,H,9/11/23,<1,0,0,0,,<1,,,,,,,
5,3H,3,H,9/11/23,10,0,0,1,,10,,,,,,,
5,4L,4,L,9/11/23,20,0,0,1,,,1,,20,,,,
5,1L,1,L,9/11/23,<1,0,0,0,<1,,,,,,,,
5,2L,2,L,9/11/23,0,0,0,0,,,,,,,,,
5,5H,5,H,9/11/23,1,0,0,0,,1,,1,,,,,
5,4H,4,H,9/11/23,20,1,0,0,,,,,20,,,,
5,C,C,C,9/11/23,1,0,0,0,,1,,,,,,,
5,3L,3,L,9/11/23,<1,0,0,0,,<1,,,,,,,
6,2H,2,H,9/11/23,1,0,0,0,,1,,,,,,,
6,3L,3,L,9/11/23,1,0,0,0,,1,,,,,,,
6,1H,1,H,9/11/23,<1,0,0,0,,<1,,,,,,,
6,5L,5,L,9/11/23,0,0,0,0,,,,,,,,,
6,3H,3,H,9/11/23,10,1,0,0,,10,,,,,,,
6,4L,4,L,9/11/23,<1,0,0,0,,<1,,,,,,,
6,1L,1,L,9/11/23,1,0,0,0,,1,,,,,,,
6,4H,4,H,9/11/23,1,0,0,0,,1,,,,,,,
6,2L,2,L,9/11/23,10,0,0,0,,10,,,,,,,
6,C,C,C,9/11/23,10,1,0,0,,10,,,,,,,
6,5H,5,H,9/11/23,1,0,0,0,,<1,1,,,,,,