Block - FB,Plot,Group,Density,Date,Total Cover,PHAU,Cheno,Typha,BOMA,DISP,EUMA,SYCI,LEFA,SCAC,BICE,BIFR,EUOC,MUAS,SCAM,RUMA,RUST,Unk_Forb,Unk_Grass,Unk_Rush,SARU,Tamarisk,Notes,Measurement 1,Measurement 2,Measurement 3
4,4H,4,H,8/19/22,20,,<1,1,20,1,,,,1,,,,,,,,,,,,,,0,0,2
4,5H,5,H,8/19/22,20,,,1,1,,,,,,10,,,,,,,1,,,,,,0,0,0
4,1H,1,H,8/19/22,1,,,1,,,,,1,,,,,,,,,,,,,,,0,0,3
4,5L,5,L,8/19/22,1,,,1,,,,,,,,,,,,,,,,,,,,0,0,0
4,3H,3,H,8/19/22,30,<1,<1,1,1,30,,,,,,,,,,,,,,,,,,3,1,4
4,2H,2,H,8/19/22,10,,1,<1,1,1,,,,,,,,,,,<1,,,,,,,0,7,5
4,1L,1,L,8/19/22,1,,1,<1,<1,1,,,,,,,,,,,,,,,,,,0,0,0
4,C,C,C,8/19/22,1,,1,1,<1,1,,,,,,,,,,,,,,,,,,0,0,0
4,4L,4,L,8/19/22,20,,1,1,10,10,,,,,,,,,,,1,,,,,,,0,5,1
5,5L,5,L,8/19/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
5,2H,2,H,8/19/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
5,1H,1,H,8/19/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
5,3H,3,H,8/19/22,<1,,,<1,<1,,,,,,,,,,,,,,,,,,,0,0,0
5,4L,4,L,8/19/22,10,,,<1,10,1,,,,1,,,,,,,<1,,,,,,,1,2,0
5,1L,1,L,8/19/22,10,,,<1,1,1,,,,,,,,,,,,,,,,,,1,1,0
5,2L,2,L,8/19/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,0,0,0
5,5H,5,H,8/19/22,1,,,<1,<1,<1,,,,,1,,,,,,,,,,,,,0,0,0
5,4H,4,H,8/19/22,1,,,,1,,,,,1,,,,,,,,,,,,,SCAC & BOMA dying,0,0,1
5,C,C,C,8/19/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
5,3L,3,L,8/19/22,<1,,,,<1,,,,,,,,,,,,,,,,,,,0,0,0
6,2H,2,H,8/19/22,1,,,1,,,,,,,,,,,,,,,,,,,,0,0,1
6,3L,3,L,8/19/22,1,,,1,<1,,,,,,,,,,,,,,,,,,,0,0,0
6,1H,1,H,8/19/22,1,,,1,<1,,,,<1,,,,,,,,,,,,,,,0,0,1
6,5L,5,L,8/19/22,1,,,1,,,,,,,,,,,,,,,,,,,,0,0,0
6,3H,3,H,8/19/22,1,,,1,,,,,,,,,,,,,,,,,,,,0,0,0
6,4L,4,L,8/19/22,1,,,<1,1,,,,,1,,,,,,,,,,,,,,0,0,0
6,1L,1,L,8/19/22,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,0
6,4H,4,H,8/19/22,1,,,<1,1,,,,,1,,,,,,,,,,,,,BOMA is dying,0,0,0
6,2L,2,L,8/19/22,<1,,,<1,<1,,,,,,,,,,,,,,,,,,,0,0,0
6,C,C,C,8/19/22,1,,,<1,1,,,,,,,,,,,,,,,,,,,0,0,0
6,5H,5,H,8/19/22,1,,,<1,1,,,,,,,,,,,,,,,,,,,0,0,0
1,5H,5,H,9/2/22,20,,,1,1,,,,10,,,,,,,,,,,,,,,2,4,2
1,1L,1,L,9/2/22,10,,,10,,,,,1,,,,,,,,,,,,,,,0,0,0
1,2L,2,L,9/2/22,10,,,1,1,,,,,,,,,,,,,,,,,,,0,1,0
1,4L,4,L,9/2/22,20,,,10,1,,,,10,1,,,,,,,,,,,,,,2,1,0
1,3L,3,L,9/2/22,1,,,1,1,,,,,,,,,,,,,,,,,,flag moved - never had a touch so should be fine,0,0,1
1,4H,4,H,9/2/22,20,,,1,10,,,,1,1,,,,,,,,,,,,,,1,1,0
1,5L,5,L,9/2/22,1,,,1,1,,,,<1,,,,,,,,,,,,,,,0,1,0
1,C,C,C,9/2/22,20,,,10,,1,,,10,,,,,,,,,,,,,,,2,1,1
1,1H,1,H,9/2/22,1,,,1,1,,,,,,,,,,,,,,,,,,,0,0,0
1,2H,2,H,9/2/22,20,,,1,1,,,,10,,,,,,,,,,,,,,,0,3,1
1,3H,3,H,9/2/22,20,,,1,10,<1,,,10,,,,,,,,,,,,,,,0,2,1
2,4L,4,L,9/2/22,10,10,,1,1,,,,1,1,,,,,,,,,,,,,,1,1,0
2,2L,2,L,9/2/22,1,1,,1,,1,,,,,,,,,,,,,,,,,,0,0,1
2,C,C,C,9/2/22,10,,,1,,1,,,10,,,,,,,,,,,,,,,0,0,4
2,3H,3,H,9/2/22,10,,,1,1,1,,,,,,,,,,,,,,,,,,0,0,0
2,1L,1,L,9/2/22,10,,,10,,1,,,,,,,,,,,,,,,,,,0,0,0
2,5H,5,H,9/2/22,1,,,1,1,,,,1,,,,,,,,,1,,,,,,0,0,0
2,5L,5,L,9/2/22,1,,,1,1,<1,,,<1,,,,,,,,,<1,,,,,,0,1,0
2,3L,3,L,9/2/22,1,,,1,1,1,,,<1,,,,,,,,,,,,,,,0,1,0
2,1H,1,H,9/2/22,1,,,1,1,1,,,,,,,,,,,,,,,,,,0,0,0
2,2H,2,H,9/2/22,1,,,1,1,,,,,,,,,,,,,,,<1,,,,0,0,0
2,4H,4,H,9/2/22,20,10,,1,1,,,,,1,,,,,1,,,<1,,,,,,0,2,1
3,1L,1,L,9/2/22,30,,1,1,1,20,,,1,,,,,,,,,,,,,,,5,0,3
3,2H,2,H,9/2/22,30,,1,10,1,20,,,1,,,,,,,,,,,,,,,5,3,3
3,5H,5,H,9/2/22,50,,1,,1,30,,1,1,,,,,,,1,,,,,,,,5,3,6
3,1H,1,H,9/2/22,60,,10,1,1,50,,,,,,,,,,,1,,,,,,,6,5,8
3,5L,5,L,9/2/22,50,,1,,10,40,,1,,,,,,,,1,,,,,,,,6,4,9
3,2L,2,L,9/2/22,40,,10,1,1,20,,,1,,,,,,,,1,,,,,,,8,0,6
3,C,C,C,9/2/22,50,,1,1,1,40,,,1,,,,,,,,,,,,,,,2,1,6
3,3L,3,L,9/2/22,70,,1,1,1,60,,,1,,,,,,,,,,,,,,,9,14,5
3,4H,4,H,9/2/22,40,10,1,,1,20,,,,,,,,,,,,,,,,,,4,4,3
3,3H,3,H,9/2/22,50,10,1,,1,30,,,,,,,,,,,,,,,,1,,6,7,5
3,4L,4,L,9/2/22,40,10,10,,1,10,,,1,,,,,,,,,,,,,,,2,2,4
4,2L,2,L,9/2/22,10,,1,,10,1,,,,,,,,,,,1,,,,,,,0,0,0
4,3L,3,L,9/2/22,30,,10,1,10,10,,,1,,,,,,,,1,,,,,,,6,3,6
4,4H,4,H,9/2/22,20,,1,1,10,1,,,,1,,,,,,,,<1,,,,,,3,2,4
4,5H,5,H,9/2/22,20,,,1,1,,,1,,,10,1,,,,,,,,,,,,0,2,0
4,1H,1,H,9/2/22,10,,1,10,,,,,1,,,,,,,,,,,,,,,0,0,1
4,5L,5,L,9/2/22,10,,,1,,,,,<1,,,,,,,,,,,,,,,0,0,0
4,3H,3,H,9/2/22,50,1,1,10,,40,,,1,,,,,,,,,,,,,,,9,3,12
4,2H,2,H,9/2/22,20,,10,,1,10,,,,,,,,,,,1,,,,,,,3,11,7
4,1L,1,L,9/2/22,10,,1,1,1,1,,,,,,,,,,,,,,,,1,,0,2,2
4,C,C,C,9/2/22,20,,10,1,,1,,,,,,,,,,,1,,,,1,,,0,2,0
4,4L,4,L,9/2/22,40,,10,1,10,20,,,,,,,,,,,1,,,,,,,3,4,4
5,5L,5,L,9/2/22,<1,,,<1,,,,,,,,,,,,,,<1,,,,,,0,0,0
5,2H,2,H,9/2/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,0,0,0
5,1H,1,H,9/2/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,0,0,0
5,3H,3,H,9/2/22,1,,,1,,,,,,,,,,,,,,,,,,,,0,0,0
5,4L,4,L,9/2/22,10,,,1,1,1,,,,1,,,,,,,1,,,,,,,2,1,3
5,1L,1,L,9/2/22,10,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1
5,2L,2,L,9/2/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,0,0,0
5,5H,5,H,9/2/22,1,,,1,,1,,,,,1,,,,,,,,,,,,,0,0,0
5,4H,4,H,9/2/22,10,,,1,1,,,,,1,,,,,,,,,,,,,,0,1,1
5,C,C,C,9/2/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,0,0,0
5,3L,3,L,9/2/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,0,0,0
6,2H,2,H,9/2/22,1,,,1,<1,,,,<1,,,,,,,,,,,,,,,0,3,1
6,3L,3,L,9/2/22,1,,,1,1,,,,,,,,,,,,,,,,,,,0,1,1
6,1H,1,H,9/2/22,1,,,1,1,,,,<1,,,,,,,,,,,,,,,0,0,0
6,5L,5,L,9/2/22,1,,,1,,,,,,,,,,,,,,,,,,,,1,0,0
6,3H,3,H,9/2/22,1,,,1,,,,,,,,,,,,,,,,,,,,0,0,0
6,4L,4,L,9/2/22,1,,,1,1,,,,,<1,,,,,,,,,,,,,Flag 1 moved - never had a touch so should be fine,0,2,0
6,1L,1,L,9/2/22,1,,,1,,,,,,,,,,,,,,,,,,,,1,0,1
6,4H,4,H,9/2/22,10,,,1,,,,,,1,,,,,,,,,,,,,,0,3,1
6,2L,2,L,9/2/22,1,,,1,1,,,,,,,,,,,,,,,,,,,0,0,0
6,C,C,C,9/2/22,1,,,1,1,,,,,,,,,,,,,,,,,,,0,0,0
6,5H,5,H,9/2/22,1,,,1,1,,,,,,,,,,,,,,,,,,,0,0,0
1,5H,5,H,9/16/22,20,,,10,1,,,,20,,,,,,,,,,,,,,,1,4,3
1,1L,1,L,9/16/22,10,,1,10,,1,,,,,,,,,,,,,,,,,,1,3,0
1,2L,2,L,9/16/22,10,,,10,1,,,,,,,,,,,,,,,,,,,1,1,0
1,4L,4,L,9/16/22,20,,1,10,1,,,,10,1,,,,,,,,,,,,,,3,2,0
1,3L,3,L,9/16/22,10,,1,10,1,,,,,,,,,,,,,,,,,,,0,0,0
1,4H,4,H,9/16/22,20,,,1,10,,,,10,,,,,,,,,,,,,,,3,0,0
1,5L,5,L,9/16/22,10,,<1,10,1,,,,1,,,,,,,,,,,,,,,0,0,0
1,C,C,C,9/16/22,20,,1,10,,,,,10,,,,,,,,,,,,,,,2,1,0
1,1H,1,H,9/16/22,10,,1,1,1,,,,,,,,,,,,,,,,,,,0,1,0
1,2H,2,H,9/16/22,20,,,1,1,,,,10,,,,,,,,,,,,,,,2,3,0
1,3H,3,H,9/16/22,20,,<1,1,10,1,,,10,,,,,,,,,,,,,,,1,4,1
2,4L,4,L,9/16/22,20,10,,1,1,1,,,10,1,,,,,,,,,,,,,,1,1,0
2,2L,2,L,9/16/22,1,1,,1,,1,,,,,,,,,,,,,,,,,,0,0,1
2,C,C,C,9/16/22,20,,,1,,1,,,10,,,,,,,,,,,,,,,0,0,2
2,3H,3,H,9/16/22,10,,,1,1,10,,,,,,,,,,,,,,,,,,0,0,1
2,1L,1,L,9/16/22,10,,,10,,1,,,,,,,,,,,,,,,,,,0,0,0
2,5H,5,H,9/16/22,10,,1,1,1,,,10,1,,,,,,,,,,,,,,,0,0,0
2,5L,5,L,9/16/22,1,,,1,1,1,,1,1,,,,,,,,,,,,,,,0,0,0
2,3L,3,L,9/16/22,10,,<1,1,10,1,,,1,,,,,,,,,,,,,,,1,2,0
2,1H,1,H,9/16/22,10,,1,1,1,10,,,,,,,,,,,,,,,,,,0,0,0
2,2H,2,H,9/16/22,1,,1,1,1,,,,,,,,,,,,,,,,,,,0,0,0
2,4H,4,H,9/16/22,10,10,1,1,1,,,,,1,,,,,1,,,,,,,,,0,1,1
3,1L,1,L,9/16/22,30,1,1,1,10,10,,,1,,,,,,,,,,,,,,,4,3,4
3,2H,2,H,9/16/22,40,,10,10,1,20,,,,,,,,,,,,,,,,,,2,2,4
3,5H,5,H,9/16/22,50,,10,,1,30,,10,1,,,,,,,1,,,,,,,,5,4,5
3,1H,1,H,9/16/22,60,,10,,1,40,,,,,,,1,,,1,1,,,,,,,5,6,7
3,5L,5,L,9/16/22,50,,1,,10,30,,1,,,,,,,,1,1,,,,,,,2,3,3
3,2L,2,L,9/16/22,40,<1,20,1,,20,,,,,,,,,,,1,,,,,,,9,3,4
3,C,C,C,9/16/22,50,1,20,1,1,30,,,1,,,,,,,,,,,,,,,4,2,7
3,3L,3,L,9/16/22,70,1,10,,1,50,,,10,,,,,,,,,,,,,,,6,5,3
3,4H,4,H,9/16/22,40,1,10,,1,30,,,,,,,,,,,,,,,,,,3,2,5
3,3H,3,H,9/16/22,50,1,1,,1,40,,,,,,,,,,,,,,,,1,,8,3,7
3,4L,4,L,9/16/22,30,10,10,,1,10,,,1,,,,,,,,,,,,,,,6,4,0
4,2L,2,L,9/16/22,20,,10,1,10,1,,,1,,,,,,,,1,,,,,,,0,0,0
4,3L,3,L,9/16/22,40,,20,1,1,20,,,1,,,,,,,,10,,,,,,,3,3,6
4,4H,4,H,9/16/22,20,,10,1,1,1,,,,1,,,,,,,1,,,,,,,4,3,2
4,5H,5,H,9/16/22,20,,,1,1,,,1,,,1,1,,,,,,,,,,,,0,1,0
4,1H,1,H,9/16/22,20,,1,1,,,,,10,,,,,,,,,,,,,,,0,0,2
4,5L,5,L,9/16/22,1,,1,1,,,,<1,1,,,,,,,,,,,,,,,0,0,1
4,3H,3,H,9/16/22,50,1,1,1,,50,,,1,,,,,,,,,,,,,,,9,4,4
4,2H,2,H,9/16/22,40,,20,1,,10,,,,,,,,,,,1,,,,,,,5,6,5
4,1L,1,L,9/16/22,30,,20,,,10,,,,,,,,,,,,,,,,1,,3,6,4
4,C,C,C,9/16/22,30,,30,1,,1,,,,,,,,,,,1,,,,1,,,0,3,2
4,4L,4,L,9/16/22,40,,10,1,10,20,,,,,,,,,,,10,,,,,,,4,4,3
5,5L,5,L,9/16/22,1,,<1,<1,,,,<1,,,,,,,,,,,,,,,,0,0,0
5,2H,2,H,9/16/22,1,,<1,1,,,,,,,,,,,,,,,,,,,,0,0,0
5,1H,1,H,9/16/22,1,,<1,1,,,,,,,,,,,,,,,,,,,,0,0,0
5,3H,3,H,9/16/22,1,,,1,,<1,,,,,,,,,,,,,<1,,,,,0,0,0
5,4L,4,L,9/16/22,10,,1,1,1,1,,,,1,,,,,,,1,,,,,,,1,1,2
5,1L,1,L,9/16/22,10,,<1,1,1,10,,,,,,,,,,,,,,,,,,3,1,0
5,2L,2,L,9/16/22,1,,1,<1,,,,,,,,,,,,,,,,,,,flag 2 fell over - never touched so should be fine,0,0,0
5,5H,5,H,9/16/22,1,,1,1,,1,,,,,1,,,,,,,,,,,,,0,0,0
5,4H,4,H,9/16/22,1,,<1,1,1,,,,,1,,,,,1,,,,,,,,,0,0,1
5,C,C,C,9/16/22,<1,,<1,<1,,,,,,,,,,,,,,,,,,,,0,0,0
5,3L,3,L,9/16/22,<1,,<1,<1,,,,,,,,,,,,,,,,,,,,0,0,0
6,2H,2,H,9/16/22,10,,<1,10,,,,,1,,,,,,,,,,,,,,,0,2,2
6,3L,3,L,9/16/22,1,,<1,1,1,,,,1,,,,,,,,,,,,,,,0,0,1
6,1H,1,H,9/16/22,10,,<1,1,,,,,,,,,,,,,,,,,,,,0,0,0
6,5L,5,L,9/16/22,1,,<1,1,,,,,,,,,,,,,,,,,,,,1,0,0
6,3H,3,H,9/16/22,1,,<1,1,,1,,,,,,,,,,,,,,,,,,0,0,0
6,4L,4,L,9/16/22,10,,,1,1,,,,,1,,,,,,,,,,,,,,0,2,0
6,1L,1,L,9/16/22,10,,<1,10,,,1,,,,,,,,,,,,,,,,,1,0,1
6,4H,4,H,9/16/22,10,,,1,1,,,,,1,,,,,1,,,,,,,,,0,5,1
6,2L,2,L,9/16/22,1,,1,1,1,,,,,,,,,,,,,,,,,,,0,1,0
6,C,C,C,9/16/22,1,,1,1,1,<1,,,,,,,,,,,,,,,,,,0,0,1
6,5H,5,H,9/16/22,1,,1,1,1,,,,,,,,,,,,,,,,,,,0,0,0