Block,Plot,Group,Density,Date,Total Cover,Unk Forb,PHAU,Unk_Sedge,BOMA,BICE,CYER,RUMA,Cheno,SCAC,SCPU,SCAM,DISP,RACY,ASIN,Unk_Grass,ALPR,CYDA,Unk_Bulrush,BY,SYCI,EUOC,TYPHA,Tamarisk,POPE,POFR,SAAM,BASC,LASE,Notes,Measurement 1,Measurement 2,Measurement 3
1,C,C,C,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No plants (true for all below unless noted),0,0,0
1,4H,4,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,1L,1,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3L,3,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,4L,4,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3H,3,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,1H,1,H,6/15/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons; flags not touching,0,0,0
1,5L,5,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
1,2H,2,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,5H,5,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,2L,2,L,6/15/22,1,,,,,,,<1,,,,,,,,<1,,,,,,,,,,,,,,flags not touching (true of every plot this round),0,0,0
2,C,C,C,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,5H,5,H,6/15/22,<1,,,<1,,,,<1,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons; 2 small plants,0,0,0
2,3H,3,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,2H,2,H,6/15/22,1,,,1,,,,<1,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
2,3L,3,L,6/15/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,2L,2,L,6/15/22,1,<1,,1,,,,,,,,,,,,<1,,,,,,,,,,,,,,,0,0,0
2,1H,1,H,6/15/22,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 tiny plants,0,0,0
2,4L,4,L,6/15/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,5L,5,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,1L,1,L,6/15/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,4H,4,H,6/15/22,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,0,0,0
3,5L,5,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,2H,2,H,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,1 plant,0,0,0
3,1H,1,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,5H,5,H,6/15/22,1,,,<1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,2L,2,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,4L,4,L,6/15/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,3L,3,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,4H,4,H,6/15/22,1,,,<1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,3H,3,H,6/15/22,1,,,<1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,1L,1,L,6/15/22,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,C,C,C,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,2L,2,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,4L,4,L,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,tiny plants,0,0,0
4,2H,2,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
4,3H,3,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,1L,1,L,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,1 plant,0,0,0
4,1H,1,H,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,2 plants,0,0,0
4,4H,4,H,6/15/22,1,,,<1,,,,,,,,,,,,,,,<1,,,,,,,,,,,,0,0,0
4,5L,5,L,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,1 plant,0,0,0
4,3L,3,L,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,small plants,0,0,0
4,5H,5,H,6/15/22,1,<1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
4,C,C,C,6/15/22,1,,,<1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,C,C,C,6/15/22,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,2L,2,L,6/15/22,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,4L,4,L,6/15/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,2H,2,H,6/15/22,<1,,,<1,,,,<1,,,,,,,,,,,,,,,,,,,,,,a couple,0,0,0
5,3L,3,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,5H,5,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,1L,1,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,5L,5,L,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,tiny plants,0,0,0
5,4H,4,H,6/15/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,1H,1,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,3H,3,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,C,C,C,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
6,4H,4,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
6,1H,1,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ripped by tide or raccoons,0,0,0
6,3H,3,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,4L,4,L,6/15/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,tiny plant,0,0,0
6,5H,5,H,6/15/22,0,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,3L,3,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,2L,2,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,1L,1,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,2H,2,H,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,5L,5,L,6/15/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,C,C,C,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,4H,4,H,6/29/22,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0
1,1L,1,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3L,3,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,4L,4,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3H,3,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
1,1H,1,H,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,5L,5,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
1,2H,2,H,6/29/22,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,5H,5,H,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,2L,2,L,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,C,C,C,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
2,5H,5,H,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,3H,3,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
2,2H,2,H,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
2,3L,3,L,6/29/22,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,0,0,0
2,2L,2,L,6/29/22,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,broken fence,0,0,0
2,1H,1,H,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
2,4L,4,L,6/29/22,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,0,0,1
2,5L,5,L,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
2,1L,1,L,6/29/22,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1
2,4H,4,H,6/29/22,10,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,0,1
3,5L,5,L,6/29/22,1,<1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
3,2H,2,H,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
3,1H,1,H,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
3,5H,5,H,6/29/22,10,,,1,,,,10,,,,,,,,,,,1,,,,,,,,,,,broken fence,0,0,0
3,2L,2,L,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,4L,4,L,6/29/22,10,,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,3L,3,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,4H,4,H,6/29/22,20,,,10,,,,10,1,,,,,,,,,,,,,,,,,,,,,,0,0,1
3,3H,3,H,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,1L,1,L,6/29/22,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,0,0,0
3,C,C,C,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,2L,2,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,4L,4,L,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,2H,2,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
4,3H,3,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,1L,1,L,6/29/22,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0
4,1H,1,H,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,4H,4,H,6/29/22,10,,,10,,,,1,,,,,,,,,,,1,,,,,,,,,,,,0,1,1
4,5L,5,L,6/29/22,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,3L,3,L,6/29/22,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,very dry,0,0,0
4,5H,5,H,6/29/22,30,,,20,,,,1,,,,,,,,,,,1,,,,,,,,,,,,0,0,2
4,C,C,C,6/29/22,10,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,C,C,C,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,2L,2,L,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
5,4L,4,L,6/29/22,30,,,1,,,,30,,<1,,,,,,,,,1,,,,,,,,,,,broken fence,0,0,0
5,2H,2,H,6/29/22,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
5,3L,3,L,6/29/22,<1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence; BOMA only 1 plant,0,0,0
5,5H,5,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
5,1L,1,L,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,5L,5,L,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
5,4H,4,H,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
5,1H,1,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
5,3H,3,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
6,C,C,C,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
6,4H,4,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
6,1H,1,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,3H,3,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,4L,4,L,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
6,5H,5,H,6/29/22,1,<1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,3L,3,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,2L,2,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
6,1L,1,L,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
6,2H,2,H,6/29/22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
6,5L,5,L,6/29/22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,broken fence,0,0,0
1,C,C,C,7/13/22,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,UNK Grass might be salt grass ,0,0,0
1,4H,4,H,7/13/22,1,,,1,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,0,0,0
1,1L,1,L,7/13/22,1,1,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,0,0,0
1,3L,3,L,7/13/22,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,0,0,1
1,4L,4,L,7/13/22,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,3H,3,H,7/13/22,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,1H,1,H,7/13/22,10,,,10,,,,,1,,,,,,,,,,1,,,,,,,,,,,,0,0,0
1,5L,5,L,7/13/22,1,,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,0,0,0
1,2H,2,H,7/13/22,10,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,1
1,5H,5,H,7/13/22,1,,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,2,0,0
1,2L,2,L,7/13/22,1,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,0,0,0
2,C,C,C,7/13/22,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,0,0,0
2,5H,5,H,7/13/22,1,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0
2,3H,3,H,7/13/22,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,2H,2,H,7/13/22,1,,,1,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,0,0,0
2,3L,3,L,7/13/22,20,,,1,,,,10,,,1,,,,,,,,1,,,,,,,,,,,,0,0,0
2,2L,2,L,7/13/22,20,,,10,,,,,1,,1,,,,,1,,,1,,,,,,,,,,,,1,0,0
2,1H,1,H,7/13/22,1,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,0,0,1
2,4L,4,L,7/13/22,20,,,10,,,,1,,,1,,,,,,,,,,,,,,,,,,,,0,0,1
2,5L,5,L,7/13/22,10,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,2,0
2,1L,1,L,7/13/22,30,,,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,2
2,4H,4,H,7/13/22,40,,,20,,,,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0
