Block,Date,Water Depth,Conductivity,Salinity,Notes
1,7/27/22,119.2,112400,,Kestrel not working; temp on meter = 30.4
2,7/27/22,54.9,105092,,
3,7/27/22,101.3,92773,,
4,7/27/22,56.2,95600,,
5,7/27/22,121.8,109732,,
6,7/27/22,82.7,94597,,
1,8/5/22,141.4,108588,,kestrel temp = 30.4; meter temp = 28.4
2,8/5/22,108.2,114693,,
3,8/5/22,106.4,105538,,
4,8/5/22,123,110331,,
5,8/5/22,146.6,117025,,
6,8/5/22,139.3,112378,,
1,8/19/22,108.6,107670,Over,Kestrel temp: 27.7; meter temp = 26
2,8/19/22,102.5,109040,Over,
3,8/19/22,95.4,105961,Over,
4,8/19/22,99.3,105433,Over,
5,8/19/22,140.2,106860,Over,
6,8/19/22,103.3,110629,Over,
1,9/2/22,96,111197,Over,meter = 29.3; kestral = 30.8
2,9/2/22,99,111729,Over,
3,9/2/22,98,101748,68.5,
4,9/2/22,97,106140,Over,
5,9/2/22,103,117170,Over,
6,9/2/22,95,110830,Over,
1,9/16/22,84,109244,Over,kestrel = 26.6; meter = 25.5
2,9/16/22,68,109845,Over,
3,9/16/22,68.9,98561,Over,
4,9/16/22,65.6,101413,Over,
5,9/16/22,86.1,113106,Over,
6,9/16/22,80.3,104896,Over,